framework,model,audio,reference,hypothesis,load_time_s,rss_before_load_mb,rss_after_load_mb,transcribe_time_s,rss_after_transcribe_mb,wer
whisper,base,data/samples/customer_support.wav,Thank you for calling Horizon Banks customer service We appreciate your patience Our representative will be with you shortly In the meantime please have your account number ready for faster assistance You can also visit our website to check recent transactions or update your contact information,"Thank you for calling XYZ Bank's customer service. We appreciate your patience. Our representative will be with you shortly. In the meantime, please have your account number ready for faster assistance. You can also visit our website to check recent transactions or update your contact information.",13.652861578999932,302.75,631.25,4.968409720000068,707.73828125,0.021739130434782608
whisper,base,data/samples/travel_advisory.wav,Good evening travelers This is your daily travel advisory from the National Weather Center Heavy rainfall is expected across the northern region starting tonight with possible flight delays at major airports Commuters are advised to plan extra travel time and stay updated on local transportation alerts,"Good evening travelers. This is your daily travel advisory from the National Weather Center. Heavy rainfall is expected across the northern region starting tonight. With possible flight delays at major airports, commuters are advised to plan extra travel time and stay updated on local transportation alerts.",13.652861578999932,302.75,631.25,5.05157233400007,716.703125,0.0
whisper,base,data/samples/tech_news.wav,In todays tech news artificial intelligence continues to revolutionize industries from healthcare to entertainment Researchers have developed smaller faster models capable of running efficiently on edge devices Experts believe this could open up a new generation of smart applications for everyday users,"In today's tech news, artificial intelligence continues to revolutionize industries from healthcare to entertainment. Researchers have developed smaller, faster models capable of running efficiently on edge devices. Experts believe this could open up a new generation of smart applications for everyday users.",13.652861578999932,302.75,631.25,5.827522931999965,726.2265625,0.0
whisper,base,data/samples/story_clip.wav,Once upon a time in a quiet coastal town a young inventor dreamed of building a flying machine Every morning he tested new designs on the windy cliffs learning from each failure and trying again One summer afternoon his creation finally lifted off the ground soaring gracefully into the orange sunset,"once upon a time in a quiet coastal town. A young inventor dreamed of building a flying machine. Every morning, he tested new designs on the windy cliffs, learning from each failure and trying again. One summer afternoon, his creation finally lifted off the ground, soaring gracefully into the orange sunset.",13.652861578999932,302.75,631.25,4.992606142,733.58203125,0.0
whisper,base,data/samples/ivr_demo.wav,Welcome to the demo of our intelligent IVR system powered by speech recognition You can say things like check my account balance or transfer money to savings Our system will understand your intent and respond instantly making phone banking simple and secure,"Welcome to the demo of our intelligent IVR system powered by speech recognition. You can say things like, check my account balance, or, transfer money to savings. Our system will understand your intent and respond instantly. Making phone banking simple and secure.",13.652861578999932,302.75,631.25,4.393833808999943,733.58203125,0.0
faster-whisper,base,data/samples/customer_support.wav,Thank you for calling Horizon Banks customer service We appreciate your patience Our representative will be with you shortly In the meantime please have your account number ready for faster assistance You can also visit our website to check recent transactions or update your contact information,"Thank you for calling XYZ Bank's customer service. We appreciate your patience. Our representative will be with you shortly. In the meantime, please have your account number ready for faster assistance. You can also visit our website to check recent transactions or update your contact information.",15.364132364999932,551.40625,630.2734375,1.4541376610000043,680.73046875,0.021739130434782608
faster-whisper,base,data/samples/travel_advisory.wav,Good evening travelers This is your daily travel advisory from the National Weather Center Heavy rainfall is expected across the northern region starting tonight with possible flight delays at major airports Commuters are advised to plan extra travel time and stay updated on local transportation alerts,"Good evening travelers. This is your daily travel advisory from the National Weather Center. Heavy rainfall is expected across the northern region starting tonight. With possible flight delays at major airports, commuters are advised to plan extra travel time and stay updated on local transportation alerts.",15.364132364999932,551.40625,630.2734375,1.615472036999904,681.09765625,0.0
faster-whisper,base,data/samples/tech_news.wav,In todays tech news artificial intelligence continues to revolutionize industries from healthcare to entertainment Researchers have developed smaller faster models capable of running efficiently on edge devices Experts believe this could open up a new generation of smart applications for everyday users,"In today's tech news, artificial intelligence continues to revolutionize industries from healthcare to entertainment. Researchers have developed smaller, faster models capable of running efficiently on edge devices. Experts believe this could open up a new generation of smart applications for everyday users.",15.364132364999932,551.40625,630.2734375,1.3506531289999657,681.3203125,0.0
faster-whisper,base,data/samples/story_clip.wav,Once upon a time in a quiet coastal town a young inventor dreamed of building a flying machine Every morning he tested new designs on the windy cliffs learning from each failure and trying again One summer afternoon his creation finally lifted off the ground soaring gracefully into the orange sunset,"once upon a time in a quiet coastal town. A young inventor dreamed of building a flying machine. Every morning, he tested new designs on the windy cliffs, learning from each failure and trying again. One summer afternoon, his creation finally lifted off the ground, soaring gracefully into the orange sunset.",15.364132364999932,551.40625,630.2734375,1.3467717350000612,716.37109375,0.0
faster-whisper,base,data/samples/ivr_demo.wav,Welcome to the demo of our intelligent IVR system powered by speech recognition You can say things like check my account balance or transfer money to savings Our system will understand your intent and respond instantly making phone banking simple and secure,"Welcome to the demo of our intelligent IVR system powered by speech recognition. You can say things like, check my account balance, or, transfer money to savings. Our system will understand your intent and respond instantly. Making phone banking simple and secure.",15.364132364999932,551.40625,630.2734375,1.3281948070000453,730.296875,0.0
