framework,model,audio,reference,hypothesis,load_time_s,rss_before_load_mb,rss_after_load_mb,transcribe_time_s,rss_after_transcribe_mb,wer
whisper,tiny,data/samples/customer_support.wav,Thank you for calling Horizon Banks customer service We appreciate your patience Our representative will be with you shortly In the meantime please have your account number ready for faster assistance You can also visit our website to check recent transactions or update your contact information,"Thank you for calling XYZ Bank's Customer Service. We appreciate your patience. Our representative will be with you shortly. In the meantime, please have your account number ready for faster assistance. You can also visit our website to check recent transactions or update your contact information.",0.4944713080000156,302.59375,493.2578125,2.9485112779999554,552.7109375,0.021739130434782608
whisper,tiny,data/samples/travel_advisory.wav,Good evening travelers This is your daily travel advisory from the National Weather Center Heavy rainfall is expected across the northern region starting tonight with possible flight delays at major airports Commuters are advised to plan extra travel time and stay updated on local transportation alerts,Good evening travelers. This is your daily travel advisory from the National Weather Center. Heavy rainfall is expected across the northern region starting tonight. With possible flight delays at major airports. Commuters are advised to plan extra travel time and stay updated on local transportation alerts.,0.4944713080000156,302.59375,493.2578125,2.476473892000058,565.0859375,0.0
whisper,tiny,data/samples/tech_news.wav,In todays tech news artificial intelligence continues to revolutionize industries from healthcare to entertainment Researchers have developed smaller faster models capable of running efficiently on edge devices Experts believe this could open up a new generation of smart applications for everyday users,"In today's tech news, artificial intelligence continues to revolutionize industries from health care to entertainment. Researchers have developed smaller. Faster models capable of running efficiently on edge devices. Experts believe this could open up a new generation of smart applications for everyday users.",0.4944713080000156,302.59375,493.2578125,2.4601232149999532,552.1640625,0.047619047619047616
whisper,tiny,data/samples/story_clip.wav,Once upon a time in a quiet coastal town a young inventor dreamed of building a flying machine Every morning he tested new designs on the windy cliffs learning from each failure and trying again One summer afternoon his creation finally lifted off the ground soaring gracefully into the orange sunset,"Once upon a time in a quiet coastal town, a young inventor dreamed of building a flying machine. Every morning, he tested new designs on the windy cliffs, learning from each failure and trying again. One summer afternoon, his creation finally lifted off the ground, soaring gracefully into the orange sunset.",0.4944713080000156,302.59375,493.2578125,3.0294650639999645,583.78515625,0.0
whisper,tiny,data/samples/ivr_demo.wav,Welcome to the demo of our intelligent IVR system powered by speech recognition You can say things like check my account balance or transfer money to savings Our system will understand your intent and respond instantly making phone banking simple and secure,"Welcome to the demo of our Intelligent IVR System powered by speech recognition. You can say things like, check my account balance or transfer money to savings. Our system will understand your intent and respond instantly, making phone banking simple and secure.",0.4944713080000156,302.59375,493.2578125,2.5359268040000416,586.53515625,0.0
faster-whisper,tiny,data/samples/customer_support.wav,Thank you for calling Horizon Banks customer service We appreciate your patience Our representative will be with you shortly In the meantime please have your account number ready for faster assistance You can also visit our website to check recent transactions or update your contact information,"Thank you for calling XYZ Bank's customer service. We appreciate your patience. Our representative will be with you shortly. In the meantime, please have your account number ready for faster assistance. You can also visit our website to check recent transactions or update your contact information.",0.9027893349999658,493.03125,499.5546875,1.0184417359999998,561.50390625,0.021739130434782608
faster-whisper,tiny,data/samples/travel_advisory.wav,Good evening travelers This is your daily travel advisory from the National Weather Center Heavy rainfall is expected across the northern region starting tonight with possible flight delays at major airports Commuters are advised to plan extra travel time and stay updated on local transportation alerts,Good evening travelers. This is your daily travel advisory from the National Weather Center. Heavy rainfall is expected across the northern region starting tonight. With possible flight delays at major airports. Commuters are advised to plan extra travel time and stay updated on local transportation alerts.,0.9027893349999658,493.03125,499.5546875,1.015743577999956,563.9453125,0.0
faster-whisper,tiny,data/samples/tech_news.wav,In todays tech news artificial intelligence continues to revolutionize industries from healthcare to entertainment Researchers have developed smaller faster models capable of running efficiently on edge devices Experts believe this could open up a new generation of smart applications for everyday users,"In today's tech news, artificial intelligence continues to revolutionize industries from health care to entertainment. Researchers have developed smaller. Faster models capable of running efficiently on edge devices. Experts believe this could open up a new generation of smart applications for everyday users.",0.9027893349999658,493.03125,499.5546875,0.8771497379999573,564.2890625,0.047619047619047616
faster-whisper,tiny,data/samples/story_clip.wav,Once upon a time in a quiet coastal town a young inventor dreamed of building a flying machine Every morning he tested new designs on the windy cliffs learning from each failure and trying again One summer afternoon his creation finally lifted off the ground soaring gracefully into the orange sunset,"Once upon a time in a quiet coastal town, a young inventor dreamed of building a flying machine. Every morning, he tested new designs on the windy cliffs, learning from each failure and trying again. One summer afternoon, his creation finally lifted off the ground, soaring gracefully into the orange sunset.",0.9027893349999658,493.03125,499.5546875,0.8811836600000333,568.06640625,0.0
faster-whisper,tiny,data/samples/ivr_demo.wav,Welcome to the demo of our intelligent IVR system powered by speech recognition You can say things like check my account balance or transfer money to savings Our system will understand your intent and respond instantly making phone banking simple and secure,"Welcome to the demo of our Intelligent IVR System powered by speech recognition. You can say things like, check my account balance or transfer money to savings. Our system will understand your intent and respond instantly, making phone banking simple and secure.",0.9027893349999658,493.03125,499.5546875,1.0684328379999215,563.58984375,0.0
